代码,名称,当前,近1月,近3月,近6月,近1年,近3年,成立来
003866,博时富诚纯债债券,1.0136,0.58%,1.49%,2.98%,5.15%,--,7.47%
003867,招商招景纯债A,1.0248,0.52%,1.33%,2.58%,4.85%,--,7.33%
003868,招商招景纯债C,--,--,--,--,--,--,0.00%
003869,长信稳势纯债,1.0971,0.54%,1.50%,2.87%,4.38%,--,33.78%
003871,华泰柏瑞天添宝货币B,0.8888,0.27%,0.93%,2.03%,4.34%,--,8.16%
003874,浙商日添金货币A,0.6595,0.23%,0.77%,1.69%,3.78%,--,6.80%
003875,浙商日添金货币B,0.7278,0.25%,0.83%,1.81%,4.02%,--,7.25%
003876,华宝沪深300增强,1.0539,-0.62%,-6.63%,-14.69%,-14.35%,--,5.56%
003877,富国久利稳健配置混合A,1.0364,0.51%,0.04%,0.24%,1.90%,--,3.71%
003878,富国久利稳健配置混合C,1.0295,0.49%,-0.07%,0.04%,1.51%,--,3.02%
003879,嘉实6个月理财债券A,,0.34%,1.05%,--,--,--,2.14%
003880,嘉实定期宝6个月理财债券A,1.2360,0.32%,1.13%,2.26%,4.52%,--,6.77%
003881,嘉实定期宝6个月理财债券B,1.2885,0.34%,1.18%,2.36%,4.72%,--,7.09%
003882,易方达瑞弘混合A,1.0931,-0.73%,-1.30%,-2.69%,1.77%,--,8.69%
003883,易方达瑞弘混合C,1.0909,-0.74%,-1.34%,-2.78%,1.62%,--,8.47%
003884,汇安沪深300指数增强A,0.9930,-1.90%,-3.83%,-0.42%,-6.32%,--,-1.45%
003885,汇安沪深300指数增强C,0.9299,-1.93%,-3.99%,-6.16%,-12.20%,--,-7.70%
003886,汇安丰利混合A,0.9344,-5.15%,-13.61%,-19.02%,-15.64%,--,0.77%
003887,汇安丰利混合C,0.9164,-5.08%,-13.56%,-19.01%,-16.72%,--,-1.09%
003888,汇安嘉源纯债债券,1.0232,0.43%,1.26%,2.49%,4.68%,--,8.44%
003889,汇安丰泽混合A,1.4006,-1.21%,-8.66%,-8.28%,-0.12%,--,38.53%
003890,汇安丰泽混合C,1.3668,-1.20%,-10.47%,-10.12%,-2.17%,--,35.54%
003891,汇安嘉裕纯债债券,1.0138,0.55%,1.44%,2.58%,4.75%,--,7.58%
003895,安信新视野灵活配置混合A,0.9573,-0.02%,-0.61%,-5.96%,-8.51%,--,-4.37%
003896,安信新视野灵活配置混合C,0.9444,-0.03%,-0.66%,-7.08%,-9.47%,--,-5.66%
003897,金元顺安桉泰债券,1.0642,0.25%,0.66%,1.87%,4.77%,--,6.31%
003898,永赢丰益债券,1.0226,0.64%,1.54%,3.14%,5.63%,--,8.09%
003900,交银瑞鑫定开混合,1.1397,0.93%,1.40%,2.15%,6.28%,--,13.45%
003902,德邦锐璟债券A,,,,,,,
003903,德邦锐璟债券C,,,,,,,
003906,华夏新锦图混合A,,,,,,,
003907,华夏新锦图混合C,,,,,,,
003912,泰达宏利启富混合A,1.0311,0.20%,-1.26%,-2.85%,-2.51%,--,3.03%
003913,泰达宏利启富混合C,1.0258,0.20%,-1.34%,-2.99%,-2.82%,--,2.50%
003922,长盛盛康灵活配置混合A,1.0639,-0.30%,0.09%,-0.67%,0.91%,--,6.29%
003923,长盛盛康灵活配置混合C,1.0479,-0.34%,0.03%,-0.91%,0.33%,--,4.69%
003926,中融恒信纯债A,1.0168,0.92%,2.15%,3.73%,6.14%,--,6.84%
003927,中融恒信纯债C,1.0165,0.91%,2.14%,3.65%,5.77%,--,6.41%
003928,前海联合永兴纯债,1.2293,0.49%,1.49%,2.95%,8.60%,--,22.94%
003929,中银证券安进债券A,1.0152,0.64%,1.50%,3.28%,5.20%,--,7.06%
003930,中银证券安进债券C,1.0155,0.64%,1.49%,3.33%,5.28%,--,7.09%
003931,工银丰实三年定开债券,1.0539,0.69%,2.34%,3.64%,5.28%,--,5.67%
003932,银华中证5年期地方政府债指数A,1.0478,0.57%,1.05%,2.35%,3.60%,--,4.80%
003933,银华中证5年期地方政府债指数C,1.0476,0.59%,1.15%,2.47%,3.62%,--,4.78%
003934,银华10年地方政府债A,1.0527,0.68%,1.23%,3.26%,4.17%,--,5.18%
003935,银华10年地方政府债C,1.0688,0.66%,1.21%,3.16%,5.83%,--,6.79%
003936,南方和利A,1.0687,0.56%,1.59%,2.91%,5.09%,--,6.88%
003937,南方和利C,1.0619,0.52%,1.48%,2.70%,4.70%,--,6.19%
003938,南方荣尊定开混合A,1.0280,0.66%,1.43%,1.17%,1.63%,--,2.82%
003939,南方荣尊定开混合C,1.0194,0.60%,1.27%,0.85%,1.00%,--,1.96%
003940,银华盛世精选灵活配置混合发起式,0.9854,-0.26%,-18.05%,-21.61%,-20.49%,--,15.02%
003949,兴全稳泰债券,1.0258,0.48%,1.39%,2.78%,5.30%,--,8.76%
